Date - Time (Philippine Time),Latitude (ºN),Longitude (ºE),Depth (km),Magnitude,Location
25 May 2024 - 12:26 PM,18.84,120.74,8,2,031 km N 10° W of Pagudpud (Ilocos Norte)
25 May 2024 - 12:00 PM,5.51,126.25,13,2.7,081 km S 56° E of Jose Abad Santos (Davao Occidental)
25 May 2024 - 11:33 AM,5.66,126.45,65,3.1,093 km S 73° E of Jose Abad Santos (Davao Occidental)
25 May 2024 - 10:54 AM,12.39,125.17,9,2.6,013 km N 30° W of Jipapad (Eastern Samar)
25 May 2024 - 10:49 AM,8.85,126.41,35,1.9,014 km S 59° E of Cagwait (Surigao Del Sur)
25 May 2024 - 10:20 AM,2.24,126.69,73,4.3,378 km S 22° E of Balut Island (Municipality Of Sarangani) (Davao Occidental)
25 May 2024 - 09:48 AM,13.66,120.11,25,1.9,017 km S 66° W of Looc (Occidental Mindoro)
25 May 2024 - 09:36 AM,18.32,120.78,17,2,017 km S 84° E of Pasuquin (Ilocos Norte)
25 May 2024 - 09:05 AM,4.38,125.68,29,2.4,119 km S 14° E of Balut Island (Municipality Of Sarangani) (Davao Occidental)
25 May 2024 - 08:11 AM,9.45,125.42,38,1.9,015 km S 49° W of Mainit (Surigao Del Norte)
25 May 2024 - 07:22 AM,8.09,126.75,18,1.9,037 km N 80° E of Lingig (Surigao Del Sur)
25 May 2024 - 04:44 AM,11.34,125.76,13,3.3,016 km S 88° E of Hernani (Eastern Samar)
25 May 2024 - 04:36 AM,8.83,126.25,28,2.4,006 km N 60° W of Marihatag (Surigao Del Sur)
25 May 2024 - 04:22 AM,11.33,125.69,6,2.7,008 km S 81° E of Hernani (Eastern Samar)
25 May 2024 - 04:04 AM,8.82,126.45,30,2.4,017 km N 80° E of Marihatag (Surigao Del Sur)
25 May 2024 - 03:36 AM,13.91,120.22,11,2.8,011 km N 62° E of Lubang (Occidental Mindoro)
25 May 2024 - 02:38 AM,9.89,125.97,33,2,003 km N 09° E of Del Carmen (Surigao Del Norte)
25 May 2024 - 01:32 AM,11.38,125.69,9,2.8,009 km N 65° E of Hernani (Eastern Samar)
25 May 2024 - 01:07 AM,19.92,120.45,123,2.8,120 km N 42° W of Dalupiri Island (Calayan) (Cagayan)
25 May 2024 - 12:38 AM,8.44,126.22,78,2.2,007 km S 76° E of Tagbina (Surigao Del Sur)
25 May 2024 - 12:32 AM,5.53,126.62,1,2.9,117 km S 69° E of Jose Abad Santos (Davao Occidental)
25 May 2024 - 12:31 AM,17.01,120.03,30,2.3,041 km N 65° W of Luna (La Union)
24 May 2024 - 11:29 PM,9.8,124.76,16,1.9,021 km N 74° E of Anda (Bohol)
24 May 2024 - 11:06 PM,16.75,120.07,9,2.5,030 km N 72° W of San Juan (La Union)
24 May 2024 - 11:02 PM,13.42,121.68,17,2.4,017 km S 82° W of Boac (Marinduque)
24 May 2024 - 11:01 PM,16.46,122.03,1,2.4,021 km N 68° W of Dilasag (Aurora)
24 May 2024 - 10:54 PM,16.54,120.83,6,2.4,005 km N 06° W of Bokod (Benguet)
