Date - Time (Philippine Time),Latitude (ºN),Longitude (ºE),Depth (km),Magnitude,Location
18 March 2024 - 02:32 PM,8.65,126.8,14,1.7,058 km S 74° E of Marihatag (Surigao Del Sur)
18 March 2024 - 02:25 PM,8.5,126.11,27,2.2,004 km S 21° W of Barobo (Surigao Del Sur)
18 March 2024 - 02:08 PM,8.23,126.22,26,2,020 km S 39° W of Hinatuan (Surigao Del Sur)
18 March 2024 - 01:31 PM,8.56,126.26,28,1.6,016 km N 47° E of Tagbina (Surigao Del Sur)
18 March 2024 - 01:11 PM,12.22,126.18,18,4.5,074 km N 87° E of San Policarpo (Eastern Samar)
18 March 2024 - 12:14 PM,8.23,126.59,30,1.7,029 km N 43° E of Lingig (Surigao Del Sur)
18 March 2024 - 11:31 AM,7.55,121.36,10,2,083 km N 70° W of Sibuco (Zamboanga Del Norte)
18 March 2024 - 11:07 AM,10.39,124.28,1,1.6,027 km N 11° W of Talibon (Bohol)
18 March 2024 - 10:42 AM,8.54,126.79,18,2.4,053 km N 69° E of Hinatuan (Surigao Del Sur)
18 March 2024 - 10:09 AM,9.05,126.14,29,3,004 km S 50° W of City Of Tandag (Surigao Del Sur)
18 March 2024 - 08:35 AM,8.75,126.42,33,2.1,014 km S 67° E of Marihatag (Surigao Del Sur)
18 March 2024 - 07:43 AM,13.48,120.69,64,1.7,005 km N 41° W of Abra De Ilog (Occidental Mindoro)
18 March 2024 - 07:41 AM,4.83,127.38,134,4.7,227 km S 58° E of Jose Abad Santos (Davao Occidental)
18 March 2024 - 07:13 AM,13.3,124.9,1,3,070 km S 55° E of Baras (Catanduanes)
18 March 2024 - 07:05 AM,5.77,124.64,30,2.6,024 km S 04° E of Kiamba (Sarangani)
18 March 2024 - 06:52 AM,6.15,126.03,99,2,040 km S 80° E of Don Marcelino (Davao Occidental)
18 March 2024 - 06:21 AM,13.88,122.3,18,2,004 km S 80° E of Lopez (Quezon)
18 March 2024 - 06:02 AM,8.7,127.32,15,3.6,115 km N 71° E of Hinatuan (Surigao Del Sur)
18 March 2024 - 05:36 AM,10.34,122.54,9,1.9,020 km S 01° E of Nueva Valencia (Guimaras)
19 March 2024 - 05:18 AM,10.16,122.3,19,2.2,041 km N 60° W of Cauayan (Negros Occidental)
18 March 2024 - 05:15 AM,8.63,126.53,23,2.1,032 km S 53° E of Marihatag (Surigao Del Sur)
18 March 2024 - 05:07 AM,8.25,126.83,4,2.1,052 km N 63° E of Lingig (Surigao Del Sur)
18 March 2024 - 04:41 AM,10.89,122.83,15,3.4,013 km S 16° E of Banate (Iloilo)
18 March 2024 - 04:21 AM,8.87,127.25,16,3.6,105 km S 87° E of Cagwait (Surigao Del Sur)
18 March 2024 - 04:20 AM,13.44,123.64,5,1.8,005 km S 62° W of Tiwi (Albay)
18 March 2024 - 04:12 AM,8.17,127.06,4,3.4,081 km N 76° E of Lingig (Surigao Del Sur)
18 March 2024 - 03:42 AM,3.99,125.83,151,3.8,164 km S 16° E of Balut Island (Municipality Of Sarangani) (Davao Occidental)
18 March 2024 - 03:31 AM,4.46,126.29,28,4.6,143 km S 42° E of Balut Island (Municipality Of Sarangani) (Davao Occidental)
18 March 2024 - 03:26 AM,8.71,126.72,37,2,048 km S 78° E of Marihatag (Surigao Del Sur)
18 March 2024 - 03:22 AM,13.57,120.65,144,1.9,016 km N 31° W of Abra De Ilog (Occidental Mindoro)
18 March 2024 - 03:09 AM,9.36,126.22,27,1.9,010 km N 18° E of Cortes (Surigao Del Sur)
18 March 2024 - 03:00 AM,8.78,126.49,33,1.8,021 km S 83° E of Marihatag (Surigao Del Sur)
18 March 2024 - 02:42 AM,3.69,126.33,12,3.2,216 km S 28° E of Balut Island (Municipality Of Sarangani) (Davao Occidental)
18 March 2024 - 02:35 AM,13.85,120.55,66,1.8,009 km N 77° W of Calatagan (Batangas)
18 March 2024 - 02:08 AM,8.2,126.54,36,2.5,023 km N 39° E of Lingig (Surigao Del Sur)
18 March 2024 - 02:04 AM,17.68,120.46,27,2.6,007 km S 03° E of San Juan (Ilocos Sur)
18 March 2024 - 02:03 AM,9.35,125.61,34,1.7,010 km N 87° E of Jabonga (Agusan Del Norte)
18 March 2024 - 01:46 AM,9.32,126.35,30,1.6,018 km N 72° E of Cortes (Surigao Del Sur)
18 March 2024 - 01:11 AM,18.44,120.13,12,1.8,053 km N 77° W of Pasuquin (Ilocos Norte)
18 March 2024 - 01:10 AM,9.63,123.97,32,1.6,002 km N 30° E of Alburquerque (Bohol)
18 March 2024 - 01:02 AM,6.78,125.68,85,1.8,030 km S 80° E of Santa Cruz (Davao Del Sur)
18 March 2024 - 01:02 AM,8.77,126.23,32,1.7,003 km N 23° E of San Agustin (Surigao Del Sur)
18 March 2024 - 01:01 AM,13.97,120.53,89,1.8,015 km S 62° W of Lian (Batangas)
18 March 2024 - 12:39 AM,19.22,121.47,3,1.8,005 km S 04° W of Calayan (Cagayan)
18 March 2024 - 12:39 AM,15.17,120.09,55,2,004 km N 72° E of Cabangan (Zambales)
18 March 2024 - 12:24 AM,5.89,124.97,22,1.6,004 km N 38° W of Maasim (Sarangani)
18 March 2024 - 12:20 AM,12.97,123.37,27,1.6,012 km S 48° W of Pio Duran (Albay)
18 March 2024 - 12:08 AM,5.95,124.95,7,2.6,010 km N 28° W of Maasim (Sarangani)
17 March 2024 - 11:58 PM,7.81,124.4,3,1.7,005 km S 67° E of Ganassi (Lanao Del Sur)
17 March 2024 - 11:33 PM,10.72,125.19,38,2.2,020 km S 81° E of Abuyog (Leyte)
17 March 2024 - 10:54 PM,16.64,119.65,17,3,038 km N 44° W of Bolinao (Pangasinan)
17 March 2024 - 10:35 PM,9.33,122.37,8,2.1,030 km S 74° W of Basay (Negros Oriental)
17 March 2024 - 10:31 PM,16.56,120.25,17,4,010 km S 50° W of City Of San Fernando (La Union)
17 March 2024 - 10:15 PM,8.25,126.52,33,1.6,023 km S 57° E of Hinatuan (Surigao Del Sur)
17 March 2024 - 10:14 PM,8.67,126,28,1.7,011 km N 70° W of Lianga (Surigao Del Sur)
17 March 2024 - 10:00 PM,5.89,127.07,106,2.9,139 km S 53° E of Governor Generoso (Davao Oriental)
17 March 2024 - 09:50 PM,14.81,123.48,23,2.4,068 km N 57° E of Tinaga Island (Vinzons) (Camarines Norte)
17 March 2024 - 09:46 PM,7.04,125.33,20,2.5,024 km S 73° E of Magpet (Cotabato)
17 March 2024 - 09:36 PM,5.16,126.46,33,2.7,115 km S 73° E of Sarangani Island (Municipality Of Sarangani) (Davao Occidental)
17 March 2024 - 09:24 PM,15.48,121.82,7,2.3,041 km S 41° E of Baler (Aurora)
17 March 2024 - 09:17 PM,7.16,125.82,10,3,010 km N 69° W of Pantukan (Davao De Oro)
17 March 2024 - 09:06 PM,6.84,124.95,22,1.8,008 km N 87° E of Tulunan (Cotabato)
17 March 2024 - 09:01 PM,9.64,125.94,32,1.7,004 km N 52° W of Socorro (Surigao Del Norte)
17 March 2024 - 08:27 PM,12.78,120.72,34,1.5,009 km S 45° W of Sablayan (Occidental Mindoro)
17 March 2024 - 08:15 PM,6.17,126.5,102,2.3,071 km S 41° E of Governor Generoso (Davao Oriental)
17 March 2024 - 08:12 PM,5.9,124.99,19,1.4,004 km N 11° W of Maasim (Sarangani)
17 March 2024 - 08:05 PM,13.71,122.22,2,2.3,005 km N 69° E of General Luna (Quezon)
17 March 2024 - 07:40 PM,10.19,126.05,10,1.7,019 km N 07° W of Burgos (Surigao Del Norte)
17 March 2024 - 06:28 PM,6.44,126.99,33,3.2,090 km S 42° E of Tarragona (Davao Oriental)
17 March 2024 - 06:24 PM,10.33,126.25,8,2.3,040 km N 29° E of Burgos (Surigao Del Norte)
17 March 2024 - 06:15 PM,8.16,124.44,1,1.8,009 km N 23° E of Tagoloan Ii (Lanao Del Sur)
17 March 2024 - 06:05 PM,17.45,122.33,10,2.4,012 km N 53° E of Maconacon (Isabela)
17 March 2024 - 06:03 PM,7.1,125.34,7,2.5,024 km N 90° E of Magpet (Cotabato)
17 March 2024 - 05:52 PM,12.13,121.37,4,2.4,022 km S 07° E of Bulalacao (Oriental Mindoro)
17 March 2024 - 05:46 PM,7.05,126.88,19,2.4,042 km S 64° E of Manay (Davao Oriental)
17 March 2024 - 05:35 PM,8.06,126.56,29,1.7,016 km N 82° E of Lingig (Surigao Del Sur)
17 March 2024 - 05:32 PM,7,127.11,22,3.2,068 km S 70° E of Manay (Davao Oriental)
17 March 2024 - 04:26 PM,7.04,126.93,14,3.5,047 km S 67° E of Manay (Davao Oriental)
17 March 2024 - 02:15 PM,6.64,126.12,37,3.7,005 km S 67° E of Governor Generoso (Davao Oriental)
17 March 2024 - 02:13 PM,9.1,125.69,37,1.7,012 km N 64° E of Remedios T. Romualdez (Agusan Del Norte)
17 March 2024 - 02:03 PM,12.4,123.78,20,3.4,002 km S 03° E of Batuan (Masbate)
17 March 2024 - 02:02 PM,9.19,125.69,35,1.6,016 km S 61° E of Santiago (Agusan Del Norte)
17 March 2024 - 01:57 PM,8.4,122.2,37,2,051 km N 26° W of Gutalac (Zamboanga Del Norte)
17 March 2024 - 01:57 PM,8.65,126.51,28,1.8,028 km S 55° E of Marihatag (Surigao Del Sur)
17 March 2024 - 01:47 PM,8.64,126.42,25,2.4,023 km S 37° E of Marihatag (Surigao Del Sur)
17 March 2024 - 01:13 PM,8.05,126.75,20,1.6,037 km N 88° E of Lingig (Surigao Del Sur)
17 March 2024 - 12:00 PM,19.17,120.6,1,2.7,064 km N 84° W of Dalupiri Island (Calayan) (Cagayan)
17 March 2024 - 11:22 AM,19.16,120.59,1,2.8,065 km N 85° W of Dalupiri Island (Calayan) (Cagayan)
17 March 2024 - 11:04 AM,19.16,120.57,1,3.6,067 km N 85° W of Dalupiri Island (Calayan) (Cagayan)
17 March 2024 - 10:40 AM,15.53,122.05,10,2.2,058 km S 64° E of Baler (Aurora)
17 March 2024 - 10:39 AM,17.49,120.62,4,3,003 km N 27° E of San Isidro (Abra)
17 March 2024 - 10:04 AM,8.5,126.89,7,3.3,063 km N 76° E of Hinatuan (Surigao Del Sur)
17 March 2024 - 09:06 AM,8.14,126.19,27,2.1,016 km S 60° W of City Of Bislig (Surigao Del Sur)
17 March 2024 - 08:45 AM,7.96,126.32,113,1.9,012 km N 30° W of Boston (Davao Oriental)
17 March 2024 - 06:42 AM,7.88,126.35,14,1.8,003 km N 72° W of Boston (Davao Oriental)
17 March 2024 - 06:40 AM,15.12,119.82,35,1.8,026 km S 80° W of Cabangan (Zambales)
17 March 2024 - 06:32 AM,16.62,120.85,17,2.1,001 km S 86° E of Kabayan (Benguet)
17 March 2024 - 06:28 AM,13.8,120.8,8,2.3,014 km S 06° W of City Of Calaca (Batangas)
17 March 2024 - 06:01 AM,17.73,119.46,32,3,098 km N 81° W of Santa Catalina (Ilocos Sur)
17 March 2024 - 05:27 AM,10.87,125.31,28,2.2,031 km S 28° W of Giporlos (Eastern Samar)
17 March 2024 - 05:25 AM,8.69,126.39,22,2.3,016 km S 40° E of Marihatag (Surigao Del Sur)
17 March 2024 - 05:02 AM,8.83,126.45,19,2,017 km N 79° E of Marihatag (Surigao Del Sur)
17 March 2024 - 04:52 AM,12.44,123.58,34,1.7,009 km N 33° W of City Of Masbate (Masbate)
17 March 2024 - 04:47 AM,8.57,126.02,24,1.8,009 km N 35° E of San Francisco (Agusan Del Sur)
17 March 2024 - 04:29 AM,13.71,122.26,7,3.9,010 km N 75° E of General Luna (Quezon)
17 March 2024 - 04:24 AM,6.49,126.74,98,2.4,070 km S 28° E of Tarragona (Davao Oriental)
17 March 2024 - 04:04 AM,9.9,126.05,33,1.6,006 km S 49° W of San Isidro (Surigao Del Norte)
17 March 2024 - 03:25 AM,8.19,126.36,50,1.5,006 km S 66° E of City Of Bislig (Surigao Del Sur)
17 March 2024 - 03:22 AM,13.76,120.59,79,2,009 km S 29° W of Calatagan (Batangas)
17 March 2024 - 03:02 AM,6.48,124.06,22,2.1,008 km S 08° E of Kalamansig (Sultan Kudarat)
17 March 2024 - 03:00 AM,9.07,126.38,35,1.7,015 km N 43° E of Bayabas (Surigao Del Sur)
17 March 2024 - 02:57 AM,7.89,126.18,19,1.7,016 km N 61° E of Monkayo (Davao De Oro)
17 March 2024 - 02:54 AM,20.1,121.23,39,2.8,073 km S 69° W of Sabtang (Batanes)
17 March 2024 - 02:53 AM,6.83,124.92,3,2.1,005 km S 84° E of Tulunan (Cotabato)
17 March 2024 - 02:50 AM,6.87,125.07,39,2.1,010 km S 14° W of Makilala (Cotabato)
17 March 2024 - 01:28 AM,13.85,120.8,10,2.6,009 km S 09° W of City Of Calaca (Batangas)
17 March 2024 - 01:05 AM,12.85,122.97,11,1.8,030 km S 79° W of Claveria (Masbate)
17 March 2024 - 12:39 AM,15.01,121.45,25,2.5,033 km N 34° W of General Nakar (Quezon)
17 March 2024 - 12:37 AM,8.79,126.06,27,1.7,018 km N 10° W of Lianga (Surigao Del Sur)
17 March 2024 - 12:19 AM,6.74,125.17,31,1.8,002 km S 60° E of Magsaysay (Davao Del Sur)
17 March 2024 - 12:07 AM,12.91,123.08,11,1.6,018 km N 89° W of Claveria (Masbate)
17 March 2024 - 12:03 AM,8.51,126.29,30,1.9,017 km N 20° W of Hinatuan (Surigao Del Sur)
16 March 2024 - 11:57 PM,8.55,127.04,21,2.2,080 km N 75° E of Hinatuan (Surigao Del Sur)
16 March 2024 - 11:29 PM,13.99,124.51,3,1.9,024 km N 78° E of Bagamanoc (Catanduanes)
16 March 2024 - 11:21 PM,8.4,126.14,27,1.5,007 km S 14° W of Tagbina (Surigao Del Sur)
16 March 2024 - 11:14 PM,8.83,126.32,34,1.8,004 km N 26° E of Marihatag (Surigao Del Sur)
16 March 2024 - 10:58 PM,7.8,124.75,27,1.9,007 km N 01° E of Kalilangan (Bukidnon)
16 March 2024 - 10:49 PM,8.36,126.58,25,2.7,027 km S 88° E of Hinatuan (Surigao Del Sur)
16 March 2024 - 10:31 PM,13.41,121.77,5,1.9,009 km S 64° W of Boac (Marinduque)
16 March 2024 - 10:17 PM,16.49,119.72,29,3.6,022 km N 57° W of Bolinao (Pangasinan)
16 March 2024 - 10:08 PM,14.06,120.51,100,1.8,013 km S 81° W of Nasugbu (Batangas)
16 March 2024 - 09:40 PM,13.98,125.24,47,2.8,095 km N 77° E of Gigmoto (Catanduanes)
16 March 2024 - 09:39 PM,8.32,126.38,34,2,007 km S 44° E of Hinatuan (Surigao Del Sur)
16 March 2024 - 09:32 PM,12.75,123.07,4,2.2,026 km S 49° W of Claveria (Masbate)
16 March 2024 - 09:24 PM,13.55,124.39,18,1.8,012 km S 08° E of Baras (Catanduanes)
16 March 2024 - 09:07 PM,9.02,127.28,17,3.6,108 km N 84° E of Cagwait (Surigao Del Sur)
16 March 2024 - 08:36 PM,8.2,126.13,27,1.6,015 km N 80° E of Bunawan (Agusan Del Sur)
16 March 2024 - 08:36 PM,10.29,122.28,31,2.3,036 km S 25° E of San Joaquin (Iloilo)
16 March 2024 - 08:28 PM,9.41,126.28,28,4.3,018 km N 34° E of Cortes (Surigao Del Sur)
16 March 2024 - 08:14 PM,8.1,126.1,34,1.6,009 km N 27° E of Trento (Agusan Del Sur)
16 March 2024 - 07:00 PM,9.3,126.19,32,2,003 km North of Cortes (Surigao Del Sur)
16 March 2024 - 06:44 PM,5.74,126.24,67,3,069 km S 74° E of Jose Abad Santos (Davao Occidental)
16 March 2024 - 06:01 PM,7.75,126,24,1.8,005 km N 15° E of Montevista (Davao De Oro)
16 March 2024 - 05:20 PM,19.89,121.27,21,4.1,072 km N 17° W of Calayan (Cagayan)
16 March 2024 - 04:26 PM,8.09,126.22,32,1.5,017 km S 38° W of City Of Bislig (Surigao Del Sur)
16 March 2024 - 12:58 PM,9.88,126.14,28,2,005 km N 67° E of Pilar (Surigao Del Norte)
16 March 2024 - 12:35 PM,8.19,125.98,7,3.2,002 km N 67° W of Bunawan (Agusan Del Sur)
16 March 2024 - 10:41 AM,8.79,126.23,32,2,005 km N 07° E of San Agustin (Surigao Del Sur)
16 March 2024 - 10:12 AM,13.73,120.59,89,1.5,013 km S 23° W of Calatagan (Batangas)
16 March 2024 - 09:07 AM,9.8,126.13,67,1.8,004 km N 59° W of General Luna (Surigao Del Norte)
16 March 2024 - 08:46 AM,13.71,122.32,16,2,013 km N 06° W of Catanauan (Quezon)
16 March 2024 - 08:43 AM,12.63,124.81,22,3.3,012 km N 35° W of San Roque (Northern Samar)
16 March 2024 - 07:52 AM,3.42,126.8,56,4.1,269 km S 35° E of Balut Island (Municipality Of Sarangani) (Davao Occidental)
16 March 2024 - 07:47 AM,8.44,126.55,35,1.7,025 km N 70° E of Hinatuan (Surigao Del Sur)
16 March 2024 - 06:14 AM,10.91,125.5,10,2.1,024 km S 14° E of Giporlos (Eastern Samar)
16 March 2024 - 04:13 AM,8.52,126.68,12,3.2,042 km N 67° E of Hinatuan (Surigao Del Sur)
16 March 2024 - 04:08 AM,15.44,122.57,2,2.5,085 km N 27° E of Patnanungan (Quezon)
16 March 2024 - 04:05 AM,9.7,122.21,13,2.4,025 km S 73° W of City Of Sipalay (Negros Occidental)
16 March 2024 - 04:00 AM,9.69,122.24,11,2.4,023 km S 67° W of City Of Sipalay (Negros Occidental)
16 March 2024 - 03:52 AM,5.67,125.64,209,3.4,027 km S 01° W of Jose Abad Santos (Davao Occidental)
16 March 2024 - 03:04 AM,17.95,120.62,24,1.8,005 km S 49° W of Banna (Ilocos Norte)
16 March 2024 - 03:03 AM,17.28,121.95,27,2,017 km N 24° E of City Of Ilagan (Isabela)
16 March 2024 - 02:43 AM,8.51,126.82,2,2.5,055 km N 73° E of Hinatuan (Surigao Del Sur)
16 March 2024 - 02:22 AM,8.77,127.04,4,3.1,081 km S 87° E of Marihatag (Surigao Del Sur)
16 March 2024 - 02:00 AM,9.16,122.52,29,2,031 km S 25° W of Basay (Negros Oriental)
16 March 2024 - 01:55 AM,9.76,122.23,20,2.5,022 km S 88° W of City Of Sipalay (Negros Occidental)
16 March 2024 - 01:43 AM,9.93,125.93,33,1.5,008 km N 37° W of Del Carmen (Surigao Del Norte)
16 March 2024 - 01:40 AM,9.66,122.19,16,2.8,029 km S 66° W of City Of Sipalay (Negros Occidental)
16 March 2024 - 01:35 AM,9.88,124.04,5,2.2,004 km N 52° E of Catigbian (Bohol)
16 March 2024 - 01:29 AM,9.74,122.21,20,2.4,024 km S 81° W of City Of Sipalay (Negros Occidental)
16 March 2024 - 01:27 AM,9.75,122.22,22,2.7,024 km S 84° W of City Of Sipalay (Negros Occidental)
16 March 2024 - 01:25 AM,9.67,122.28,16,2.2,020 km S 57° W of City Of Sipalay (Negros Occidental)
16 March 2024 - 01:22 AM,9.73,122.23,18,2.8,023 km S 79° W of City Of Sipalay (Negros Occidental)
16 March 2024 - 01:11 AM,10.06,126.73,11,3.1,070 km N 64° E of General Luna (Surigao Del Norte)
16 March 2024 - 01:05 AM,8.46,126.68,33,1.6,039 km N 74° E of Hinatuan (Surigao Del Sur)
16 March 2024 - 12:48 AM,9.72,122.37,16,1.4,009 km S 52° W of City Of Sipalay (Negros Occidental)
16 March 2024 - 12:46 AM,9.78,122.23,22,3.1,023 km N 88° W of City Of Sipalay (Negros Occidental)
16 March 2024 - 12:45 AM,9.78,122.23,22,2.4,022 km N 86° W of City Of Sipalay (Negros Occidental)
16 March 2024 - 12:40 AM,9.77,122.25,20,4.3,021 km S 89° W of City Of Sipalay (Negros Occidental)
16 March 2024 - 12:28 AM,5.01,126.5,122,3.1,125 km S 66° E of Sarangani Island (Municipality Of Sarangani) (Davao Occidental)
16 March 2024 - 12:12 AM,16.08,120.53,127,2,004 km N 29° W of Laoac (Pangasinan)
16 March 2024 - 12:12 AM,8.68,126.4,81,2.1,017 km S 40° E of Marihatag (Surigao Del Sur)
15 March 2024 - 11:52 PM,14.04,120.53,142,2.2,012 km S 74° W of Nasugbu (Batangas)
15 March 2024 - 11:45 PM,5.67,125.89,56,2,038 km S 45° E of Jose Abad Santos (Davao Occidental)
15 March 2024 - 11:26 PM,16.09,119.94,32,1.9,002 km North of Mabini (Pangasinan)
15 March 2024 - 11:08 PM,8.81,126.51,22,1.6,023 km N 86° E of Marihatag (Surigao Del Sur)
15 March 2024 - 09:12 PM,13.84,120.54,66,2,010 km N 84° W of Calatagan (Batangas)
15 March 2024 - 08:08 PM,15.54,122.77,49,2.4,105 km N 27° E of Jomalig (Quezon)
15 March 2024 - 07:19 PM,14.9,119.89,34,2.2,022 km S 77° W of San Antonio (Zambales)
15 March 2024 - 05:24 PM,9.09,124.29,26,1.7,043 km S 85° W of Catarman (Camiguin)
15 March 2024 - 05:18 PM,13.58,124.15,27,2,005 km S 74° E of San Andres (Catanduanes)
15 March 2024 - 03:37 PM,8.19,126.23,36,1.5,009 km S 76° W of City Of Bislig (Surigao Del Sur)
15 March 2024 - 03:20 PM,9.99,126.11,32,1.5,005 km S 54° E of Burgos (Surigao Del Norte)
15 March 2024 - 02:02 PM,13.98,120.48,160,2.6,020 km S 71° W of Lian (Batangas)
15 March 2024 - 01:30 PM,9.96,125.66,20,2.5,004 km N 24° W of Cagdianao (Dinagat Islands)
15 March 2024 - 01:25 PM,8.76,126.23,24,1.9,002 km N 40° E of San Agustin (Surigao Del Sur)
15 March 2024 - 11:40 AM,8.77,126.5,28,2.1,023 km S 81° E of Marihatag (Surigao Del Sur)
15 March 2024 - 10:51 AM,8.22,126.55,32,2.2,025 km N 37° E of Lingig (Surigao Del Sur)
15 March 2024 - 09:24 AM,13.13,121.69,70,2,025 km N 07° W of Concepcion (Romblon)
15 March 2024 - 08:46 AM,9.09,126.1,33,1.6,008 km N 78° W of City Of Tandag (Surigao Del Sur)
15 March 2024 - 07:31 AM,8.88,127.26,1,4.3,105 km S 88° E of Cagwait (Surigao Del Sur)
15 March 2024 - 06:52 AM,8.64,127.18,1,4.5,098 km N 72° E of Hinatuan (Surigao Del Sur)
15 March 2024 - 06:22 AM,16.57,120.91,22,2.1,009 km S 52° E of Kabayan (Benguet)
15 March 2024 - 05:13 AM,13.85,121.91,12,1.6,003 km S 12° W of Agdangan (Quezon)
15 March 2024 - 03:47 AM,9.89,124.08,1,2.1,003 km S 20° W of Sagbayan (Bohol)
15 March 2024 - 03:05 AM,8.99,126.46,18,3.5,020 km N 82° E of Bayabas (Surigao Del Sur)
15 March 2024 - 02:24 AM,19.01,120.94,1,2.3,030 km S 69° W of Dalupiri Island (Calayan) (Cagayan)
15 March 2024 - 02:07 AM,5.45,126.2,14,2.7,080 km S 50° E of Jose Abad Santos (Davao Occidental)
15 March 2024 - 01:59 AM,15.44,122.5,8,4.1,082 km N 21° E of Patnanungan (Quezon)
15 March 2024 - 01:53 AM,6.37,126.08,114,2.1,031 km S 01° E of Governor Generoso (Davao Oriental)
15 March 2024 - 01:45 AM,15.43,122.55,13,4.3,083 km N 26° E of Patnanungan (Quezon)
15 March 2024 - 01:24 AM,17.84,120.68,6,3.1,009 km S 09° E of Nueva Era (Ilocos Norte)
15 March 2024 - 01:02 AM,15.07,119.88,26,2,020 km N 86° W of San Felipe (Zambales)
15 March 2024 - 12:34 AM,13.66,120.62,88,2,019 km S 03° W of Calatagan (Batangas)
15 March 2024 - 12:18 AM,9.78,126.23,24,1.7,008 km S 89° E of General Luna (Surigao Del Norte)
15 March 2024 - 12:10 AM,10.11,123.28,19,2.1,002 km S 47° E of City Of Guihulngan (Negros Oriental)
14 March 2024 - 11:00 PM,13.8,120.61,132,2.1,004 km S 37° W of Calatagan (Batangas)
14 March 2024 - 10:10 PM,9.18,126.67,12,2.5,048 km N 61° E of Bayabas (Surigao Del Sur)
14 March 2024 - 09:07 PM,11.06,124.79,3,2.9,012 km S 85° W of Dagami (Leyte)
14 March 2024 - 09:04 PM,11.05,124.81,2,2.3,011 km S 79° W of Dagami (Leyte)
14 March 2024 - 08:56 PM,12.86,124.82,2,2.2,035 km N 20° W of Pambujan (Northern Samar)
14 March 2024 - 08:55 PM,9.62,126.16,34,2.3,018 km S 02° E of General Luna (Surigao Del Norte)
14 March 2024 - 08:23 PM,8.78,126.97,1,2.4,074 km S 88° E of Marihatag (Surigao Del Sur)
14 March 2024 - 07:52 PM,8.81,126.9,13,2.2,067 km S 80° E of Cagwait (Surigao Del Sur)
14 March 2024 - 07:04 PM,10.63,125.56,29,2.3,022 km S 56° W of Homonhon Island (Guiuan) (Eastern Samar)
14 March 2024 - 06:20 PM,5.72,126.31,15,2.7,076 km S 74° E of Jose Abad Santos (Davao Occidental)
14 March 2024 - 05:44 PM,8.52,127.05,20,2.3,080 km N 78° E of Hinatuan (Surigao Del Sur)
14 March 2024 - 05:13 PM,13.12,124.11,4,2.9,008 km S 14° W of Rapu-rapu (Albay)
14 March 2024 - 04:49 PM,8.51,126.93,23,2.5,067 km N 77° E of Hinatuan (Surigao Del Sur)
14 March 2024 - 04:14 PM,7.96,126.57,24,1.8,020 km S 62° E of Lingig (Surigao Del Sur)
14 March 2024 - 04:11 PM,7.96,126.57,7,1.7,019 km S 63° E of Lingig (Surigao Del Sur)
14 March 2024 - 04:01 PM,7.85,126.21,20,1.9,018 km N 82° E of Monkayo (Davao De Oro)
14 March 2024 - 03:43 PM,8.01,126.93,13,3.3,058 km S 87° E of Lingig (Surigao Del Sur)
14 March 2024 - 03:26 PM,8.45,127.01,14,2.8,075 km N 83° E of Hinatuan (Surigao Del Sur)
14 March 2024 - 02:58 PM,8.65,127.3,16,2.3,111 km N 73° E of Hinatuan (Surigao Del Sur)
14 March 2024 - 02:58 PM,8.81,126.23,22,1.5,007 km N 02° E of San Agustin (Surigao Del Sur)
14 March 2024 - 02:50 PM,9.19,125.88,98,2.5,012 km S 50° W of Madrid (Surigao Del Sur)
14 March 2024 - 02:36 PM,5.79,124.99,65,2.5,008 km S 03° W of Maasim (Sarangani)
14 March 2024 - 01:52 PM,8.65,126.6,29,2.1,037 km S 64° E of Marihatag (Surigao Del Sur)
14 March 2024 - 01:51 PM,8.13,126.63,33,1.9,026 km N 66° E of Lingig (Surigao Del Sur)
14 March 2024 - 11:46 AM,12.6,123.62,28,2,006 km S 49° W of Monreal (Masbate)
14 March 2024 - 11:38 AM,8.44,127.37,8,3.1,114 km N 86° E of Hinatuan (Surigao Del Sur)
14 March 2024 - 11:03 AM,9.16,126.79,17,2.1,060 km N 69° E of Bayabas (Surigao Del Sur)
14 March 2024 - 10:56 AM,14.44,123.23,10,3,030 km S 82° E of Tinaga Island (Vinzons) (Camarines Norte)
14 March 2024 - 10:52 AM,8.47,126.09,1,2.3,008 km S 29° W of Barobo (Surigao Del Sur)
14 March 2024 - 10:29 AM,12.84,123.44,31,1.7,018 km S 66° W of Donsol (Sorsogon)
14 March 2024 - 06:56 AM,9.18,126.25,19,2,012 km S 31° E of Cortes (Surigao Del Sur)
14 March 2024 - 06:08 AM,13.24,122.35,1,3,022 km S 57° W of San Francisco (Quezon)
14 March 2024 - 06:00 AM,10.55,124.68,19,1.4,008 km N 51° W of Inopacan (Leyte)
14 March 2024 - 05:44 AM,13.23,122.36,6,3.8,021 km S 54° W of San Francisco (Quezon)
14 March 2024 - 05:42 AM,8.84,126.98,20,3.5,075 km S 83° E of Cagwait (Surigao Del Sur)
14 March 2024 - 04:28 AM,8.44,126.76,20,2.3,047 km N 80° E of Hinatuan (Surigao Del Sur)
14 March 2024 - 04:26 AM,12.64,123.44,1,2,015 km N 16° E of Aroroy (Masbate)
14 March 2024 - 04:17 AM,8.76,126.65,25,1.8,039 km S 83° E of Marihatag (Surigao Del Sur)
14 March 2024 - 04:07 AM,16.86,121.52,13,2.4,008 km S 23° E of Alfonso Lista (Ifugao)
14 March 2024 - 03:38 AM,8.76,126.84,7,2.4,060 km S 86° E of Marihatag (Surigao Del Sur)
